s_no,key,num_equality_compares,cumulative_avg
653,glassful,2,1.68
654,complete,2,1.68
655,appearance,2,1.68
656,satisfaction,0,1.68
657,gentleman,2,1.68
658,complexion,0,1.68
659,rattling,4,1.68
660,untouched,0,1.68
661,mamselle,2,1.68
662,announce,4,1.68
663,gentleman,2,1.68
664,tellsons,2,1.69
665,refreshment,0,1.68
666,required,20,1.71
667,extremely,0,1.71
668,gentleman,2,1.71
669,tellsons,2,1.71
670,immediately,2,1.71
671,pleasure,0,1.71
672,convenience,2,1.71
673,gentleman,2,1.71
674,tellsons,2,1.71
675,desperation,0,1.71
676,manettes,0,1.70
677,apartment,2,1.70
678,furnished,2,1.70
679,funereal,0,1.70
680,horsehair,0,1.70
681,gloomily,2,1.70
682,reflected,2,1.70
683,mahogany,14,1.72
684,expected,2,1.72
685,obscurity,2,1.72
686,difficult,6,1.72
687,penetrate,2,1.72
688,wellworn,16,1.75
689,supposed,2,1.75
690,adjacent,2,1.75
691,standing,2,1.75
692,seventeen,4,1.75
693,ridingcloak,2,1.75
694,travelling,4,1.75
695,quantity,2,1.75
696,inquiring,16,1.77
697,forehead,2,1.77
698,singular,0,1.77
699,capacity,0,1.77
700,remembering,0,1.77
701,knitting,0,1.76
702,expression,4,1.77
703,perplexity,0,1.77
704,attention,0,1.76
705,included,2,1.76
706,expressionsas,0,1.76
707,likeness,0,1.76
708,likeness,2,1.76
709,pierglass,0,1.76
710,hospital,0,1.75
711,procession,2,1.75
712,headless,0,1.75
713,cripples,2,1.75
714,offering,0,1.75
715,divinities,0,1.75
716,feminine,2,1.75
717,genderand,0,1.74
718,pleasant,0,1.74
719,received,2,1.74
720,yesterday,2,1.74
721,informing,0,1.74
722,intelligenceor,0,1.74
723,discovery,2,1.74
724,material,0,1.74
725,respecting,0,1.73
726,property,2,1.73
727,troubled,0,1.73
728,hospital,2,1.73
729,procession,2,1.73
730,rendered,0,1.73
731,necessary,0,1.73
732,communicate,0,1.73
733,gentleman,2,1.73
734,despatched,2,1.73
735,prepared,2,1.73
736,curtseyed,0,1.72
737,curtseys,0,1.72
738,considered,0,1.72
739,necessary,2,1.72
740,permitted,6,1.73
741,gentlemans,2,1.73
742,protection,2,1.73
743,gentleman,2,1.73
744,messenger,2,1.73
745,entrusted,2,1.73
746,gratefully,0,1.73
747,gentleman,2,1.73
748,business,2,1.73
749,surprising,0,1.72
750,naturally,2,1.72
751,interest,4,1.73
752,naturally,4,1.73
753,settling,0,1.73
754,difficult,4,1.73
755,indecision,2,1.73
756,forehead,4,1.73
757,singular,2,1.73
758,expressionbut,0,1.73
759,characteristic,0,1.73
760,singularand,0,1.73
761,involuntary,4,1.73
762,stranger,2,1.73
763,extended,0,1.73
764,outwards,0,1.73
765,argumentative,0,1.72
766,eyebrows,0,1.72
767,feminine,4,1.72
768,delicate,2,1.73
769,possible,0,1.72
770,expression,4,1.73
771,deepened,0,1.72
772,thoughtfully,0,1.72
773,hitherto,2,1.72
774,remained,4,1.72
775,standing,2,1.73
776,business,2,1.73
777,business,2,1.73
778,reception,0,1.72
779,speaking,12,1.74
780,machinetruly,4,1.74
781,customers,0,1.74
782,wilfully,0,1.74
783,repeated,0,1.73
784,customers,2,1.73
785,business,2,1.73
786,connection,2,1.73
787,customers,2,1.73
788,gentleman,2,1.73
789,scientific,0,1.73
790,gentleman,2,1.73
791,acquirementsa,2,1.73
792,beauvais,2,1.73
793,beauvais,4,1.74
794,monsieur,0,1.73
795,gentleman,2,1.73
796,beauvais,4,1.74
797,monsieur,2,1.74
798,gentleman,2,1.74
799,relations,4,1.74
800,business,2,1.74
801,relations,6,1.75
802,confidential,6,1.75
803,marriedan,0,1.75
804,trustees,0,1.75
805,gentlemen,2,1.75
806,families,2,1.75
807,entirely,0,1.75
808,tellsons,2,1.75
809,customers,2,1.75
810,business,2,1.75
811,relations,6,1.75
812,friendship,0,1.75
813,particular,4,1.75
814,interest,4,1.76
815,sentiment,0,1.75
816,business,2,1.75
817,customers,2,1.75
818,business,2,1.75
819,feelings,4,1.76
820,curiously,6,1.76
821,roughened,0,1.76
822,forehead,4,1.76
823,surviving,2,1.76
824,hesitating,0,1.76
825,confidingly,0,1.76
826,advanced,2,1.76
827,ceremony,8,1.77
828,conducted,4,1.77
829,straightway,0,1.77
830,chairback,0,1.77
831,feelings,6,1.77
832,relations,6,1.78
833,fellowcreatures,0,1.77
834,business,2,1.77
835,relations,6,1.78
836,tellsons,2,1.78
837,business,2,1.78
838,tellsons,2,1.78
839,feelings,6,1.78
840,pecuniary,0,1.78
841,description,0,1.78
842,employment,4,1.78
843,flattened,0,1.78
844,unnecessary,0,1.78
845,attitude,2,1.78
846,remarked,0,1.78
847,regretted,2,1.78
848,difference,0,1.77
849,frightened,2,1.78
850,soothing,0,1.77
851,bringing,0,1.77
852,supplicatory,0,1.77
853,agitationa,2,1.77
854,business,2,1.77
855,discomposed,2,1.77
856,wandered,6,1.77
857,monsieur,2,1.77
858,suddenly,2,1.78
859,silently,2,1.78
860,disappeared,2,1.78
861,spirited,0,1.77
862,difficult,4,1.78
863,dreadful,0,1.77
864,compatriot,0,1.77
865,exercise,2,1.77
866,privilege,2,1.77
867,instance,0,1.77
868,privilege,4,1.77
869,consignment,0,1.77
870,oblivion,0,1.77
871,implored,0,1.77
872,vainthen,2,1.77
873,unfortunate,0,1.77
874,gentleman,2,1.77
875,beauvais,4,1.77
876,anything,2,1.77
877,uncertainty,2,1.77
878,collectedly,0,1.77
879,collected,0,1.76
880,satisfied,2,1.76
881,business,2,1.77
882,businessbusiness,0,1.76
883,suffered,0,1.76
884,intensely,2,1.76
885,daughter,0,1.76
886,daughter,2,1.76
887,aamatter,2,1.76
888,businessdont,0,1.76
889,distressed,0,1.76
890,suffered,2,1.76
891,intensely,2,1.76
892,determination,2,1.76
893,inheritance,2,1.76
894,compassionate,4,1.76
895,business,2,1.76
896,transact,8,1.77
897,business,2,1.77
898,confused,4,1.77
899,clearheaded,0,1.77
900,instance,2,1.77
901,ninepence,2,1.77
902,shillings,2,1.77
903,encouraging,4,1.77
904,directly,2,1.77
905,answering,0,1.77
906,communicated,2,1.77
907,reassurance,2,1.77
908,business,2,1.77
909,business,2,1.77
910,business,2,1.77
911,brokenhearted,0,1.77
912,slackened,2,1.77
913,unavailing,0,1.77
914,blooming,0,1.76
915,beautiful,2,1.77
916,uncertainty,4,1.77
917,lingering,8,1.77
918,admiring,2,1.77
919,pictured,0,1.77
920,possession,0,1.77
921,discovery,4,1.77
922,property,4,1.78
923,expression,4,1.78
924,forehead,4,1.78
925,particularly,4,1.78
926,attracted,0,1.78
927,immovable,0,1.78
928,deepened,2,1.78
929,beenbeen,0,1.78
930,probable,0,1.78
931,possible,2,1.78
932,identify,2,1.78
933,distinct,0,1.77
934,awestricken,0,1.77
935,ghostnot,0,1.77
936,gentleman,2,1.77
937,repeated,2,1.77
938,wholesome,0,1.77
939,enforcing,0,1.77
940,attention,2,1.77
941,forgotten,0,1.77
942,concealed,0,1.76
943,overlooked,0,1.76
944,designedly,0,1.76
945,prisoner,2,1.76
946,inquiries,2,1.76
947,dangerous,2,1.76
948,anywhere,0,1.76
949,englishman,0,1.76
950,tellsons,2,1.76
951,important,2,1.76
952,referring,2,1.76
953,altogether,0,1.76
954,credentials,2,1.76
955,memoranda,0,1.75
956,comprehended,12,1.76
957,recalled,2,1.76
958,anything,2,1.77
959,perfectly,2,1.77
960,insensible,0,1.76
961,expression,4,1.77
962,forehead,4,1.77
963,therefore,0,1.77
964,assistance,0,1.76
965,wildlooking,0,1.76
966,agitation,2,1.76
967,observed,2,1.76
968,extraordinary,0,1.76
969,tightfitting,0,1.76
970,wonderful,2,1.76
971,grenadier,2,1.76
972,servants,0,1.76
973,question,2,1.76
974,detachment,4,1.76
975,breathless,0,1.76
976,reflection,0,1.76
977,simultaneously,2,1.76
978,addressing,2,1.76
979,servants,2,1.76
980,standing,2,1.76
981,smellingsalts,0,1.76
982,immediate,0,1.75
983,dispersal,0,1.75
984,restoratives,6,1.76
985,gentleness,6,1.76
986,precious,0,1.76
987,spreading,0,1.76
988,shoulders,0,1.76
989,indignantly,8,1.76
990,frightening,2,1.76
991,exceedingly,0,1.76
992,disconcerted,2,1.76
993,question,2,1.76
994,distance,2,1.76
995,sympathy,0,1.76
996,humility,0,1.76
997,banished,0,1.76
998,servants,2,1.76
999,mysterious,2,1.76
1000,something,2,1.76
1001,mentioned,0,1.76
1002,recovered,0,1.75
1003,gradations,0,1.75
1004,drooping,2,1.75
1005,shoulder,4,1.75
1006,sympathy,2,1.75
1007,humility,2,1.75
1008,accompany,12,1.76
1009,intended,2,1.77
1010,providence,0,1.76
1011,question,2,1.76
1012,withdrew,2,1.76
1013,consider,0,1.76
1014,wineshop,18,1.78
1015,accident,2,1.78
1016,happened,4,1.78
1017,wineshop,20,1.80
1018,shattered,6,1.80
1019,walnutshell,2,1.80
1020,suspended,0,1.80
1021,business,2,1.80
1022,idleness,2,1.80
1023,irregular,0,1.80
1024,pointing,0,1.80
1025,designed,0,1.80
1026,expressly,2,1.80
1027,creatures,2,1.80
1028,approached,0,1.79
1029,surrounded,0,1.79
1030,jostling,6,1.80
1031,according,2,1.80
1032,shoulders,2,1.80
1033,mutilated,6,1.80
1034,earthenware,2,1.80
1035,handkerchiefs,0,1.80
1036,squeezed,0,1.80
1037,embankments,2,1.80
1038,directed,0,1.80
1039,lookerson,0,1.79
1040,directions,2,1.80
1041,themselves,2,1.80
1042,champing,0,1.79
1043,winerotted,0,1.79
1044,fragments,0,1.79
1045,drainage,0,1.79
1046,scavenger,0,1.79
1047,acquainted,0,1.79
1048,believed,0,1.78
1049,miraculous,2,1.78
1050,presence,2,1.78
1051,laughter,0,1.78
1052,voicesvoices,0,1.78
1053,childrenresounded,0,1.78
1054,roughness,0,1.78
1055,playfulness,0,1.78
1056,companionship,2,1.78
1057,observable,0,1.77
1058,inclination,0,1.77
1059,especially,0,1.77
1060,lighterhearted,0,1.77
1061,frolicsome,0,1.77
1062,embraces,0,1.77
1063,drinking,2,1.77
1064,together,12,1.78
1065,abundant,2,1.78
1066,gridironpattern,0,1.77
1067,demonstrations,2,1.77
1068,suddenly,2,1.77
1069,sticking,0,1.77
1070,firewood,0,1.77
1071,doorstep,2,1.77
1072,returned,2,1.77
1073,cadaverous,2,1.77
1074,gathered,0,1.77
1075,appeared,0,1.77
1076,sunshine,6,1.77
1077,forehead,4,1.77
1078,acquired,0,1.77
1079,tigerish,0,1.77
1080,besmirched,2,1.77
1081,nightcap,0,1.77
1082,scrawled,0,1.77
1083,wineleesblood,0,1.77
1084,streetstones,2,1.77
1085,momentary,2,1.77
1086,countenance,0,1.77
1087,darkness,2,1.77
1088,heavycold,0,1.76
1089,sickness,2,1.76
1090,ignorance,2,1.76
1091,presencenobles,2,1.76
1092,especially,2,1.76
1093,undergone,6,1.77
1094,terrible,2,1.77
1095,grinding,0,1.77
1096,regrinding,0,1.77
1097,certainly,0,1.76
1098,fabulous,0,1.76
1099,shivered,0,1.76
1100,fluttered,0,1.76
1101,children,2,1.76
1102,ploughed,4,1.76
1103,prevalent,2,1.76
1104,everywhere,0,1.76
1105,wretched,2,1.76
1106,clothing,0,1.76
1107,repeated,2,1.76
1108,fragment,6,1.76
1109,firewood,2,1.76
1110,smokeless,0,1.76
1111,chimneys,0,1.76
1112,anything,2,1.76
1113,inscription,4,1.76
1114,sausageshop,2,1.76
1115,preparation,2,1.76
1116,roasting,0,1.76
1117,chestnuts,8,1.77
1118,cylinder,0,1.76
1119,farthing,0,1.76
1120,porringer,0,1.76
1121,reluctant,0,1.76
1122,diverging,0,1.76
